-81.36, -84.0, -85.85
-59.7, -77.33, -73.5
-22.96, -65.49, -59.64
4.01, -48.48, -45.08
19.04, -27.57, -33.2
29.02, -4.95, -19.73
34.85, 18.77, -0.15
34.08, 43.11, 26.92
28.31, 61.77, 67.12
-158.01, 117.83, 121.95
-164.48, 128.61, 146.36
-169.03, 139.42, 157.89
-178.06, 140.95, 158.82
168.84, 135.48, 159.77
146.63, 122.39, 160.67
95.36, 93.12, 124.93
38.7, 43.49, -13.66
13.6, 7.33, -5.6
13.99, 0.06, 11.13
21.65, -12.59, 14.96
22.62, -22.45, 6.76
26.17, -26.04, 17.61
26.72, -27.71, 14.94
26.57, -27.5, 12.5
26.06, -26.6, 11.31
26.1, -25.77, 10.64
26.36, -25.77, 6.09
26.54, -26.86, 4.52
27.73, -28.0, 4.09
29.23, -29.51, 0.39
31.1, -31.15, -5.73
32.36, -33.85, -14.09
32.22, -37.36, -22.9
33.12, -42.9, -25.62
36.36, -49.9, -27.37
35.32, -57.68, -31.89
31.7, -66.22, -38.29
35.09, -75.01, -42.37
50.02, -82.48, -46.37
76.01, -87.37, -45.11
88.75, -89.58, -63.97
89.22, -89.31, -80.32
74.3, -88.16, -66.13
43.21, -87.37, -60.84
22.02, -87.11, -59.19
20.29, -86.96, -58.99
21.33, -86.59, -58.64
17.15, -85.99, -58.39
19.49, -85.58, -58.33
19.32, -85.36, -57.79
