14.46, 6.42, -1.91
67.83, -3.85, 21.34
26.36, -37.66, 51.86
-41.99, 3.73, 30.85
-67.01, 74.96, -0.08
-88.64, 68.65, -16.3
-78.95, 2.29, -52.13
-11.04, -50.73, -57.03
41.57, -59.87, -8.94
66.31, -54.33, -24.02
61.59, -52.28, -23.56
38.8, -54.86, -18.97
-9.51, -55.68, -10.77
-77.1, 12.24, 24.98
-30.52, 80.43, 36.71
7.01, 88.62, -10.47
21.22, 87.75, -5.8
-3.26, 73.1, 5.38
-39.51, 38.26, 2.8
-52.34, -10.56, -7.68
-24.16, -52.71, -11.73
29.19, -62.93, -8.1
66.65, -47.11, -3.6
67.5, -45.24, -15.05
47.89, -52.45, -12.83
7.97, -52.56, -7.38
-48.34, 19.63, 19.14
-36.09, 43.18, 16.35
-5.17, 66.14, -5.52
23.33, 70.91, -3.28
23.91, 70.0, 2.46
1.04, 67.77, -5.5
-44.86, 35.45, -8.79
-47.04, -22.89, -25.84
-15.42, -54.95, -14.21
19.1, -47.8, -10.65
8.84, -36.5, -22.68
3.34, -22.42, -11.45
0.14, -8.72, -1.95
4.93, 4.46, 3.79
14.28, 15.68, 15.16
22.03, 11.23, 7.42
7.76, 4.76, 1.15
8.88, 12.55, 5.75
8.28, 6.48, 1.82
5.91, 3.47, -0.07
-2.54, 2.07, -3.73
-3.6, 4.61, -4.16
-4.71, 1.3, -4.53
