-79.53,-114.87,-101.92
-70.17,-121.18,-96.19
-46.83,-50.61,-88.74
-17.94,-40.19,-81.01
1.82,-29.95,-69.29
6.81,-20.19,-60.74
4.03,-12.02,-60.22
2.43,-5.67,-62.35
1.59,-2.53,-64.25
2.34,-0.38,-68.21
5.36,0.95,-69.66
10.86,1.70,-69.09
21.01,2.09,-67.63
45.28,0.98,-61.96
79.80,-0.93,-51.60
97.45,-2.15,-44.45
99.51,-2.90,-38.14
89.88,-2.48,-35.22
71.54,-1.14,-37.71
47.32,0.64,-43.09
26.73,3.59,-48.84
14.20,5.18,-51.77
6.72,5.97,-58.55
4.95,6.18,-61.95
6.60,5.83,-61.99
10.78,4.95,-61.90
17.74,3.85,-62.51
31.03,1.52,-60.77
59.21,-1.34,-56.15
88.87,-2.24,-49.39
105.17,-2.91,-45.43
109.61,-3.73,-41.78
102.96,-5.50,-36.90
87.44,-6.83,-34.16
64.14,-7.04,-34.87
37.32,-5.94,-42.02
19.12,-3.52,-45.41
7.30,-2.86,-49.66
1.92,-1.12,-57.43
2.26,0.65,-63.32
4.75,0.75,-66.53
10.63,1.67,-68.54
23.83,2.56,-64.86
48.17,2.52,-53.05
66.77,4.39,-43.01
74.40,7.10,-41.29
