16.36, -0.39, 6.22
29.56, -13.92, 16.43
26.46, -17.06, 35.83
-18.59, -32.19, 61.2
-89.72, -7.32, 21.3
-104.52, 25.86, -12.62
-56.4, 57.73, -60.37
29.41, 61.57, -39.59
110.06, 31.31, -33.16
125.27, 30.84, -15.91
21.73, 46.11, -3.91
-62.94, -17.44, -14.15
-107.54, -69.36, 14.01
-99.83, -38.13, -19.41
-6.73, 31.83, -7.67
91.87, 40.92, 15.42
141.82, 26.12, 5.66
59.32, 52.08, 12.96
-22.42, 22.39, -4.6
-94.57, -36.7, 13.5
-100.56, -62.96, -8.51
-48.33, -11.98, -40.0
4.99, 13.8, -35.63
55.45, 9.54, -51.62
51.69, 17.49, -49.87
30.47, 29.55, -24.2
-9.97, 8.57, 42.31
2.81, -29.73, 62.34
-14.52, -37.4, 19.87
-5.2, -30.39, 6.78
-2.93, -20.19, -0.74
0.39, -10.84, -0.6
-0.53, -1.82, -2.48
4.78, -6.24, -2.52
2.6, -1.57, -1.38
0.99, 0.32, -3.05
-0.51, 2.02, -3.06
-0.88, 0.83, -2.06
-1.62, 2.0, -3.92
-0.26, 0.0, -2.84
0.56, -0.02, -3.18
0.63, 0.01, -2.51
0.23, 1.41, -2.6
0.14, -0.42, -2.3
-0.99, 0.84, -3.21
-0.91, 0.52, -3.08
-1.13, 1.06, -3.37
-0.08, -1.03, -2.53
-0.09, 0.85, -2.85
0.53, 0.16, -2.34
